"PERSONS" "WARD" "QUESTION" "MAILGRP" "PHONEGRP" "PERSNGRP" "APPEAL" "CONTACT" "MAILINGS" "AGE" "MAJORPTY" "VOTE960" "VOTE961" "MAILCALL" "VOTED98" "PHNSCRPT" "DISMC" "DISPHN" "PHNC" "PHNTRT1" "PHNTRT2" "PHNC1" "PHNC2" "NEW" "phone" "AGE2"
"1221" 2 "13" 0 0 1 0 3 0 0 74 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 54.76
"1228" 2 "24" 1 0 1 0 3 0 0 37 0 0 1 0 0 6 99 1 1 1 1 1 1 0 1 13.69
"1236" 2 "29" 1 0 1 0 2 0 0 24 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 5.76
"1242" 2 "10" 1 0 1 0 2 0 0 81 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 65.61
"1279" 2 "21" 0 0 1 0 2 0 0 34 1 0 0 0 0 2 99 1 1 1 1 1 1 1 1 11.56
"1289" 2 "20" 1 0 1 0 3 0 0 54 1 1 0 0 1 6 99 1 1 1 1 1 1 0 1 29.16
"1312" 2 "18" 1 0 1 0 3 0 0 65 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 42.25
"1314" 2 "27" 0 0 1 0 2 0 0 43 0 1 0 0 1 2 99 1 1 1 1 1 1 0 1 18.49
"1319" 2 "4" 1 0 1 0 2 0 0 52 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 27.04
"1320" 2 "17" 1 0 1 0 2 0 0 44 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 19.36
"1321" 2 "26" 1 0 1 0 2 0 0 52 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 27.04
"1322" 2 "17" 1 0 1 0 2 0 0 30 1 1 0 0 0 2 99 1 1 1 1 1 1 0 1 9
"1327" 2 "9" 1 0 1 0 3 0 0 57 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 32.49
"1328" 2 "26" 0 0 1 0 3 0 0 58 0 0 1 0 0 6 99 1 1 1 1 1 1 0 1 33.64
"1331" 2 "18" 1 0 1 0 3 0 0 73 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 53.29
"1335" 2 "27" 1 0 1 0 2 0 0 24 0 0 0 0 1 2 99 1 1 1 1 1 1 1 1 5.76
"1342" 2 "18" 1 0 1 0 2 0 0 26 1 0 1 0 0 2 99 1 1 1 1 1 1 0 1 6.76
"1350" 2 "27" 0 0 1 0 3 0 0 38 1 1 0 0 0 6 99 1 1 1 1 1 1 0 1 14.44
"1351" 2 "10" 1 0 1 0 2 0 0 61 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 37.21
"1359" 2 "17" 0 0 1 0 3 0 0 77 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 59.29
"1368" 2 "18" 1 0 1 0 2 0 0 53 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 28.09
"1369" 2 "18" 1 0 1 0 2 0 0 46 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 21.16
"1375" 2 "27" 1 0 1 0 3 0 0 76 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 57.76
"1398" 2 "8" 1 0 1 0 3 0 0 55 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 30.25
"1414" 2 "15" 1 0 1 0 3 0 0 84 1 0 1 0 0 6 99 1 1 1 1 1 1 0 1 70.56
"1421" 2 "25" 0 0 1 0 3 0 0 45 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 20.25
"1424" 2 "14" 1 0 1 0 3 0 0 40 1 0 1 0 0 6 99 1 1 1 1 1 1 0 1 16
"1425" 2 "17" 0 0 1 0 3 0 0 71 0 0 1 0 1 6 99 1 1 1 1 1 1 0 1 50.41
"1429" 2 "19" 0 0 1 0 3 0 0 44 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 19.36
"1430" 2 "26" 0 0 1 0 3 0 0 33 1 0 0 0 1 6 99 1 1 1 1 1 1 1 1 10.89
"1460" 2 "25" 1 0 1 0 2 0 0 60 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 36
"1462" 2 "11" 1 0 1 0 3 0 0 76 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 57.76
"1464" 2 "18" 0 0 1 0 2 0 0 71 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 50.41
"1478" 2 "12" 1 0 1 0 2 0 0 43 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 18.49
"1481" 2 "6" 1 0 1 0 3 0 0 66 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 43.56
"1534" 2 "26" 1 0 1 0 2 0 0 79 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 62.41
"1539" 2 "21" 1 0 1 0 2 0 0 48 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 23.04
"1543" 2 "16" 1 0 1 0 3 0 0 62 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 38.44
"1545" 2 "27" 1 0 1 0 2 0 0 78 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 60.84
"1549" 2 "28" 0 0 1 0 2 0 0 55 1 1 0 0 1 2 99 1 1 1 1 1 1 0 1 30.25
"1559" 2 "17" 1 0 1 0 3 0 0 72 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 51.84
"1566" 2 "25" 1 0 1 0 2 0 0 53 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 28.09
"1587" 2 "9" 0 0 1 0 2 0 0 24 0 0 1 0 1 2 99 1 1 1 1 1 1 0 1 5.76
"1590" 2 "10" 1 0 1 0 2 0 0 89 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 79.21
"1594" 2 "18" 1 0 1 0 3 0 0 46 0 0 1 0 1 6 99 1 1 1 1 1 1 0 1 21.16
"1597" 2 "13" 1 0 1 0 2 0 0 86 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 73.96
"1617" 2 "13" 1 0 1 0 3 0 0 75 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 56.25
"1629" 2 "13" 0 0 1 0 3 0 0 47 1 0 1 0 0 6 99 1 1 1 1 1 1 0 1 22.09
"1631" 2 "25" 0 0 1 0 2 0 0 28 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 7.84
"1639" 2 "17" 1 0 1 0 3 0 0 51 1 1 0 0 0 6 99 1 1 1 1 1 1 0 1 26.01
"1641" 2 "14" 1 0 1 0 2 0 0 73 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 53.29
"1655" 2 "25" 1 0 1 0 3 0 0 78 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 60.84
"1692" 2 "25" 1 0 1 0 3 0 0 79 0 0 1 0 1 6 99 1 1 1 1 1 1 0 1 62.41
"1693" 2 "11" 1 0 1 0 2 0 0 38 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 14.44
"1720" 2 "5" 1 0 1 0 2 0 0 80 1 0 1 0 1 2 99 1 1 1 1 1 1 0 1 64
"1721" 2 "25" 0 0 1 0 3 0 0 75 1 0 1 0 1 6 99 1 1 1 1 1 1 0 1 56.25
"1728" 2 "26" 0 0 1 0 3 0 0 84 0 0 1 0 0 6 99 1 1 1 1 1 1 0 1 70.56
"1731" 2 "26" 1 0 1 0 3 0 0 79 1 0 1 0 0 6 99 1 1 1 1 1 1 0 1 62.41
"1737" 2 "12" 0 0 1 0 3 0 0 72 1 1 0 0 0 6 99 1 1 1 1 1 1 0 1 51.84
"1742" 2 "17" 1 0 1 0 2 0 0 75 1 0 1 0 0 2 99 1 1 1 1 1 1 0 1 56.25
"1777" 2 "26" 1 0 1 0 3 0 0 65 1 0 1 0 0 6 99 1 1 1 1 1 1 0 1 42.25
"1778" 2 "28" 0 0 1 0 2 0 0 55 0 0 1 0 1 2 99 1 1 1 1 1 1 0 1 30.25
"1789" 2 "28" 1 0 1 0 2 0 0 53 0 0 1 0 0 2 99 1 1 1 1 1 1 0 1 28.09
"1790" 2 "30" 1 0 1 0 2 0 0 52 1 1 0 0 0 2 99 1 1 1 1 1 1 0 1 27.04
"1814" 2 "11" 0 0 0 0 1 0 0 74 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 54.76
"1815" 2 "28" 1 0 0 0 1 0 0 37 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 13.69
"1816" 2 "18" 1 0 0 0 2 0 0 78 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 60.84
"1818" 2 "3" 1 0 0 0 2 0 0 21 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 4.41
"1819" 2 "10" 1 0 0 0 1 0 0 43 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 18.49
"1824" 2 "12" 1 0 0 0 3 0 0 28 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 7.84
"1825" 2 "28" 0 0 0 0 3 0 0 45 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 20.25
"1826" 2 "13" 1 0 0 0 1 0 0 78 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 60.84
"1830" 2 "17" 0 0 0 0 3 0 0 67 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 44.89
"1832" 2 "27" 1 0 0 0 1 0 0 38 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 14.44
"1838" 2 "10" 1 0 0 0 1 0 0 70 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 49
"1839" 2 "21" 0 0 0 0 3 0 0 47 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 22.09
"1840" 2 "5" 0 0 0 0 1 0 0 47 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 22.09
"1844" 2 "30" 1 0 0 0 2 0 0 40 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 16
"1845" 2 "20" 0 0 0 0 2 0 0 78 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 60.84
"1846" 2 "20" 1 0 0 0 1 0 0 92 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 84.64
"1849" 2 "16" 1 0 0 0 3 0 0 26 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 6.76
"1851" 2 "27" 1 0 0 0 1 0 0 64 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 40.96
"1855" 2 "18" 1 0 0 0 1 0 0 32 0 0 1 0 1 0 99 99 0 0 0 0 0 0 0 10.24
"1856" 2 "27" 0 0 0 0 2 0 0 30 0 0 0 0 0 0 99 99 0 0 0 0 0 1 0 9
"1857" 2 "5" 1 0 0 0 1 0 0 57 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 32.49
"1858" 2 "2" 1 0 0 0 2 0 0 28 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 7.84
"1859" 2 "18" 1 0 0 0 1 0 0 60 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 36
"1860" 2 "9" 1 0 0 0 2 0 0 29 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 8.41
"1862" 2 "15" 1 0 0 0 3 0 0 47 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 22.09
"1863" 2 "19" 1 0 0 0 2 0 0 39 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 15.21
"1866" 2 "13" 1 0 0 0 1 0 0 79 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 62.41
"1867" 2 "18" 1 0 0 0 1 0 0 43 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 18.49
"1869" 2 "23" 1 0 0 0 2 0 0 55 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 30.25
"1870" 2 "25" 1 0 0 0 3 0 0 32 0 0 0 0 0 0 99 99 0 0 0 0 0 1 0 10.24
"1879" 2 "17" 1 0 0 0 2 0 0 36 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 12.96
"1880" 2 "22" 0 0 0 0 2 0 0 27 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 7.29
"1882" 2 "26" 1 0 0 0 3 0 0 51 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 26.01
"1887" 2 "19" 1 0 0 0 2 0 0 54 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 29.16
"1888" 2 "12" 0 0 0 0 1 0 0 49 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 24.01
"1890" 2 "8" 1 0 0 0 3 0 0 30 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 9
"1891" 2 "28" 0 0 0 0 1 0 0 37 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 13.69
"1892" 2 "25" 1 0 0 0 2 0 0 25 0 0 0 0 0 0 99 99 0 0 0 0 0 1 0 6.25
"1894" 2 "13" 1 0 0 0 3 0 0 37 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 13.69
"1895" 2 "10" 1 0 0 0 1 0 0 79 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 62.41
"1897" 2 "30" 1 0 0 0 1 0 0 61 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 37.21
"1899" 2 "11" 0 0 0 0 3 0 0 79 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 62.41
"1900" 2 "30" 1 0 0 0 2 0 0 42 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 17.64
"1901" 2 "30" 1 0 0 0 2 0 0 21 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 4.41
"1903" 2 "30" 0 0 0 0 3 0 0 40 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 16
"1907" 2 "23" 1 0 0 0 2 0 0 75 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 56.25
"1911" 2 "20" 1 0 0 0 3 0 0 66 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 43.56
"1912" 2 "6" 0 0 0 0 3 0 0 24 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 5.76
"1917" 2 "27" 0 0 0 0 2 0 0 88 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 77.44
"1918" 2 "27" 1 0 0 0 1 0 0 81 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 65.61
"1922" 2 "18" 0 0 0 0 3 0 0 77 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 59.29
"1923" 2 "26" 1 0 0 0 1 0 0 41 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 16.81
"1925" 2 "15" 1 0 0 0 2 0 0 47 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 22.09
"1932" 2 "9" 1 0 0 0 2 0 0 65 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 42.25
"1933" 2 "15" 1 0 0 0 3 0 0 56 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 31.36
"1934" 2 "15" 1 0 0 0 2 0 0 38 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 14.44
"1936" 2 "7" 1 0 0 0 2 0 0 25 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 6.25
"1937" 2 "27" 1 0 0 0 2 0 0 54 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 29.16
"1943" 2 "25" 1 0 0 0 2 0 0 50 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 25
"1944" 2 "17" 0 0 0 0 1 0 0 59 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 34.81
"1945" 2 "12" 1 0 0 0 1 0 0 57 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 32.49
"1946" 2 "12" 0 0 0 0 2 0 0 65 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 42.25
"1949" 2 "14" 0 0 0 0 1 0 0 66 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 43.56
"1951" 2 "17" 1 0 0 0 2 0 0 64 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 40.96
"1952" 2 "14" 0 0 0 0 3 0 0 33 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 10.89
"1954" 2 "22" 0 0 0 0 3 0 0 25 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 6.25
"1955" 2 "18" 0 0 0 0 1 0 0 64 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 40.96
"1956" 2 "18" 1 0 0 0 2 0 0 43 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 18.49
"1963" 2 "23" 1 0 0 0 1 0 0 46 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 21.16
"1964" 2 "25" 1 0 0 0 1 0 0 45 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 20.25
"1968" 2 "30" 0 0 0 0 3 0 0 20 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 4
"1969" 2 "25" 0 0 0 0 1 0 0 46 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 21.16
"1970" 2 "20" 0 0 0 0 1 0 0 34 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 11.56
"1971" 2 "25" 0 0 0 0 2 0 0 86 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 73.96
"1972" 2 "5" 0 0 0 0 3 0 0 73 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 53.29
"1973" 2 "20" 0 0 0 0 3 0 0 74 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 54.76
"1974" 2 "27" 1 0 0 0 3 0 0 35 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 12.25
"1979" 2 "25" 1 0 0 0 2 0 0 50 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 25
"1980" 2 "20" 1 0 0 0 2 0 0 42 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 17.64
"1982" 2 "6" 1 0 0 0 1 0 0 61 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 37.21
"1983" 2 "17" 1 0 0 0 1 0 0 39 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 15.21
"1985" 2 "9" 1 0 0 0 3 0 0 29 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 8.41
"1993" 2 "9" 1 0 0 0 2 0 0 34 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 11.56
"1996" 2 "25" 0 0 0 0 2 0 0 44 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 19.36
"1997" 2 "24" 1 0 0 0 1 0 0 24 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 5.76
"2000" 2 "5" 0 0 0 0 3 0 0 88 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 77.44
"2001" 2 "6" 1 0 0 0 2 0 0 41 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 16.81
"2003" 2 "10" 1 0 0 0 2 0 0 45 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 20.25
"2006" 2 "8" 1 0 0 0 3 0 0 41 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 16.81
"2007" 2 "21" 0 0 0 0 3 0 0 58 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 33.64
"2010" 2 "11" 0 0 0 0 3 0 0 50 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 25
"2015" 2 "4" 0 0 0 0 3 0 0 26 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 6.76
"2017" 2 "10" 0 0 0 0 3 0 0 57 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 32.49
"2020" 2 "16" 1 0 0 0 2 0 0 57 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 32.49
"2021" 2 "14" 0 0 0 0 3 0 0 53 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 28.09
"2023" 2 "11" 1 0 0 0 3 0 0 83 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 68.89
"2028" 2 "13" 1 0 0 0 1 0 0 64 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 40.96
"2029" 2 "17" 1 0 0 0 3 0 0 56 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 31.36
"2032" 2 "18" 1 0 0 0 2 0 0 51 0 0 1 0 1 0 99 99 0 0 0 0 0 0 0 26.01
"2035" 2 "15" 0 0 0 0 1 0 0 33 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 10.89
"2038" 2 "5" 1 0 0 0 2 0 0 58 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 33.64
